order,full_url,raw_domain,id,domain_src,list
1,,mellowads.com,1,bitvic.com,faucet
2,,a-ads.com,2,bitvic.com,faucet
3,,coinzillatag.com,3,bitvic.com,faucet
4,,czilladx.com,4,bitvic.com,faucet
5,,coinzilla.com,5,bitvic.com,faucet
6,,coinzilla.io,6,bitvic.com,faucet
7,,bitvertize.net,7,bitcoinearningshq.com,faucet
8,,cointraffic.io,8,www.bitcoinfaucet.network,faucet
9,,coinzillatag.com,9,www.bitcoinfaucet.network,faucet
10,,cryptocoinsad.com,10,www.bitcoinfaucet.network,faucet
11,,bmcdn1.com,11,www.bitcoinfaucet.network,faucet
12,,bitmedia.io,12,www.bitcoinfaucet.network,faucet
